userID,group,method,verified
mpr_2fHUDlOF3oKWV5cCc8zZJi6HJ3f,B,Sms,1
mpr_2fH4rBwyhg4DV26hdiypCcKuxWQ,B,Sms,1
mpr_2fHUn7UKfKn2I9TNwwJBBpE5QF6,A,Sms,1
mpr_2fHVZDomfXWbA6U6YeC5JccmGdb,A,Sms,1
mpr_2fHY5H5orEMJW7eOwAKw4UqJkWp,C,Whatsapp,1
mpr_2fHZI99LVbuzbBiEXNOGn77XpXD,C,Whatsapp,1
mpr_2fHbTd17G7mGjurZRvdQ3Q2oeOv,A,Sms,0
mpr_2fHfLlqJAsFmUMXrxynMeW7Dgy7,C,Sms,1
mpr_2fHfH3IJWWTezPZOtiGISRKoPUC,B,Sms,1
mpr_2fHgqTEuVkkybTgyX39knuJZaSd,A,Sms,0
mpr_2fHgZeQbl2KqBeQoh1NC1kk1nGf,B,Sms,1
mpr_2fHgdG78ddcjw9q5HFjvJ9Jft2w,C,Sms,1
mpr_2fHhbHATOU7L6jUrXq3nlvQr41n,A,Sms,1
mpr_2fHkL9T71lqgBvq4tPrkQbqZcop,A,Sms,1
mpr_2fHlSK9Q3IbtW5WtNo4Ywa5TJ5y,B,Sms,1
mpr_2fHmQEIdp5xfpnVDnKNoZZ094LN,C,Whatsapp,1
mpr_2fHm3QlSWyqLNZCHIeAgw5I7BlP,A,Sms,1
mpr_2fHnaAjOTPD7jfQ4FHpuFFbQofs,C,Whatsapp,1
mpr_2fHo7wedOgpR3ZJq1VK6VxHJfCE,A,Sms,0
mpr_2fHnwpN5BmcvQ1kg9OSCgaFtVp5,C,Sms,1
mpr_2fHnmquyZNmQj9vOq2ElqonVq5H,C,Whatsapp,0
mpr_2fHoS7QBJDkrZaOiKlD3uSs7VJq,B,Sms,1
mpr_2fHpZ3Er7ywNQimUALIliyRHYtK,A,Sms,0
mpr_2fHpYDsatl11jX8gJcGesiA7yxp,A,Sms,1
mpr_2fHqgDUhNHYkRqA2MYFPKSdlXtt,C,Whatsapp,1
mpr_2fHshmy0c6owyCAZGBtXzKQB57Q,A,Sms,1
mpr_2fHYDYwkPWcB4Shlsc3R4D5rFnc,A,Sms,1
mpr_2fHtKETeU14MDOgNqIa8lvXTNvy,C,Sms,1
mpr_2fHuDWhP36ST0ay0secW63Fl2Z0,B,Sms,1
mpr_2fHsV6uutEpCxEI8taySVauNkpu,B,Sms,1
mpr_2fHtM1vBGZaKMIhFyfnxs6GE4cv,B,Sms,1
mpr_2fNjMskoCKq48YVUHd79Kd68WqA,C,Whatsapp,1
mpr_2fNjRLfhir0HT4ZPaq1bKCMvBLE,C,Sms,1
mpr_2fNjo7B3keSlJjxdKHY4GJL8YS6,A,Sms,1
mpr_2fNlJMb3GhAOmslTxrHqjKIuzxr,C,Whatsapp,1
mpr_2fLEliTJhwwomnEiCJ4Gqi6yurF,B,Sms,1
mpr_2fNm1nw31v1EKk3clOoMNiVSGlu,C,Sms,1
mpr_2fNnFBIoiOjXMZO4kzzC6E7uO1E,B,Sms,1
mpr_2fNtBDG4JeH44upIDMoTb891mW9,B,Sms,1
mpr_2fNtrAEQVDyky3xP7LG31pD1L8k,C,Whatsapp,1
mpr_2fP4Q9BSzhsNKWACZcrLpItudq3,A,Sms,1
mpr_2fP56ENMJiHT8jLf35phYy3FKDO,B,Sms,1
mpr_2fP7M2A9Gq0IBVFxqHkpsDVZtug,A,Sms,1
mpr_2fP8h2IJRVQ5mcfwYd9xfd3nu9y,A,Sms,1
mpr_2fPAI7i2pUcRT1Vi8wXFbCA4R1F,C,Whatsapp,1
